Organism Name, Gene Length, Length of First Coded Exon to Last Coded Exon
Homo sapiens (human),58438.36095365843,40477.48340617022
Mus musculus (house mouse),45225.67346091577,33734.96658225746
Rattus norvegicus (Norway rat),45505.32962899641,37130.577021713114
Loxodonta africana (African savanna elephant),51439.89341678039,44402.91430991483
Rattus norvegicus (Norway rat),41344.29250707311,35974.079857625264
Canis lupus familiaris (dog),52329.743009786296,41667.471190333534
Monodelphis domestica (gray short-tailed opossum),66478.70931281759,55349.89632901173
Sus scrofa (pig),55869.27871060861,43552.52547510224
Oryctolagus cuniculus (rabbit),50313.944916081186,43180.96452966432
Ailuropoda melanoleuca (giant panda),45615.35093836529,38942.748128397085
Callithrix jacchus (white-tufted-ear marmoset),55733.02562623203,46531.89792778499
Nomascus leucogenys (northern white-cheeked gibbon),57378.32763170756,47651.782719186784
Myotis lucifugus (little brown bat),38715.86823564683,33191.48798281117
Cavia porcellus (domestic guinea pig),42956.44460360583,36826.77895776735
Pteropus vampyrus (large flying fox),43401.424984690755,36609.43105735865
Dipodomys ordii (Ord's kangaroo rat),40048.67904389657,35621.771697735014
Gorilla gorilla gorilla (western lowland gorilla),53805.27471451876,44484.16201351666
Carlito syrichta (Philippine tarsier),41624.279343310474,36610.23955152911
Microcebus murinus (gray mouse lemur),53613.5227327749,43121.16341451605
Sorex araneus (European shrew),40693.295914156006,38832.91492983904
Otolemur garnettii (small-eared galago),49679.98916030534,43654.94407124682
Felis catus (domestic cat),56532.76692905439,45780.537592088
Sarcophilus harrisii (Tasmanian devil),49772.01237216264,44362.84983786481
Dasypus novemcinctus (nine-banded armadillo),48373.02258108048,41517.97827358193
Mustela putorius furo (domestic ferret),52235.8387504423,42649.252843350354
Cricetulus griseus (Chinese hamster),34243.160617652546,29490.67787833551
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),53929.371662207865,46312.52309323103
Ictidomys tridecemlineatus (thirteen-lined ground squirrel),44485.30835417709,38287.00535267634
Trichechus manatus latirostris (Florida manatee),57662.75019564877,50362.99321750926
Heterocephalus glaber (naked mole-rat),53274.270086835015,42821.08553747879
Bos indicus (zebu cattle),48040.74891948939,41211.20786008644
Pan paniscus (pygmy chimpanzee),55962.91776172235,44858.69466130049
Octodon degus (degu),50693.205040478024,43331.16764649191
Condylura cristata (star-nosed mole),42000.58495713172,36146.43642133393
Papio anubis (olive baboon),57216.27424749164,45239.41264308258
Chinchilla lanigera (long-tailed chinchilla),47092.05109100585,39308.70104988146
Jaculus jaculus (lesser Egyptian jerboa),50513.11755045823,47941.59792339885
Ceratotherium simum simum (southern white rhinoceros),45087.04018101348,39885.54304042966
Ochotona princeps (American pika),44281.59538536008,41367.813478190714
Chrysochloris asiatica (Cape golden mole),63247.72155294594,59772.04580886819
Erinaceus europaeus (western European hedgehog),49491.781877289846,45634.0182155942
Orycteropus afer afer (aardvark),67007.49214446031,63205.21475209141
Bos mutus (wild yak),42790.66329064615,38942.097774748014
Elephantulus edwardii (Cape elephant shrew),57836.36414129111,55175.11634591961
Eptesicus fuscus (big brown bat),45466.21324193634,38118.09968648706
Camelus ferus (Wild Bactrian camel),39031.80573985496,33316.82816437793
Microtus ochrogaster (prairie vole),45981.69727672614,39084.20590125043
Odobenus rosmarus divergens (Pacific walrus),46381.30999383097,42043.32706148468
Pteropus alecto (black flying fox),44455.72112292178,37741.53535023167
Myotis davidii (bats),41203.23846113084,35733.22367654072
Orcinus orca (killer whale),52416.13565848828,46821.957421058425
Tupaia chinensis (Chinese tree shrew),49918.90467192593,43073.527752846145
Mesocricetus auratus (golden hamster),43047.63623884694,36894.34287675262
Leptonychotes weddellii (Weddell seal),38840.781693230005,36328.18170297802
Macaca fascicularis (crab-eating macaque),58288.90424714135,46523.80988757567
Chlorocebus sabaeus (green monkey),58115.10724101981,47108.62799734622
Myotis brandtii (Brandt's bat),42281.093707831475,35713.72152531361
Lipotes vexillifer (Yangtze River dolphin),46002.249362786744,42401.845316482584
Panthera tigris altaica (Amur tiger),46367.431358809896,40786.48709103649
Balaenoptera acutorostrata scammoni (minke whale),52024.82502122241,44193.14293293718
Peromyscus maniculatus bairdii (prairie deer mouse),44953.86632531773,37887.69466032733
Nannospalax galili (Upper Galilee mountains blind mole rat),50886.346006162596,42514.95572410524
Ursus maritimus (polar bear),43753.87730124447,39185.52905481847
Galeopterus variegatus (Sunda flying lemur),33387.9029805087,29883.290359234332
Equus przewalskii (Przewalski's horse),38175.10102433982,32977.73602105065
Fukomys damarensis (Damara mole-rat),45573.863786378635,37516.255775577556
Bison bison bison (American bison),47293.17590887058,40461.487106156084
Camelus dromedarius (Arabian camel),39730.11445534331,35026.98435725349
Camelus bactrianus (Bactrian camel),40789.1203457793,35638.1097745144
Rhinopithecus roxellana (golden snub-nosed monkey),48306.23106649701,41076.83844667515
Colobus angolensis palliatus (Angolan colobus),57038.8207121985,47152.69823188549
Mandrillus leucophaeus (drill),56282.25177600313,46651.28783499094
Aotus nancymaae (Ma's night monkey),55508.40014698677,45373.748750612445
Cercocebus atys (sooty mangabey),59517.838425636335,47007.97998364048
Macaca nemestrina (pig-tailed macaque),60657.71569920844,46945.929843573314
Propithecus coquereli (Coquerel's sifaka),48247.895396629676,43384.51500205508
Equus asinus (ass),44361.87889508117,37556.594184637754
Marmota marmota marmota (Alpine marmot),35711.52315519209,32134.964387599848
Rousettus aegyptiacus (Egyptian rousette),44015.68415674654,35353.577121544986
Miniopterus natalensis (bats),40643.41013673055,35085.15820108725
Cebus capucinus imitator (white-faced sapajou),54202.54139480934,44949.21183123097
Manis javanica (Malayan pangolin),34162.545798995925,28875.546272615327
Rhinopithecus bieti (black snub-nosed monkey),50767.24207212629,41922.85153465117
Capra hircus (goat),51051.91388875488,43540.05021949925
Panthera pardus (leopard),56921.66795992535,46119.863814949415
Hipposideros armiger (great roundleaf bat),49424.42534959521,41060.44932183787
Tursiops truncatus (common bottlenose dolphin),50895.34755060135,42705.937694338514
Castor canadensis (American beaver),32310.370254331,27931.916236638408
Phascolarctos cinereus (koala),65536.10717131474,54602.39257968128
Odocoileus virginianus texanus (white-tailed deer),41981.25116389549,34674.80921615202
Neomonachus schauinslandi (Hawaiian monk seal),47004.69515109671,43061.219979818365
Meriones unguiculatus (Mongolian gerbil),32339.574805655317,28112.656498613447
Bos taurus (cattle),52716.299971700784,42475.944958022825
Enhydra lutris kenyoni (sea otter),49837.00216049383,44448.05643004115
Delphinapterus leucas (beluga whale),57661.70802525771,46401.094122726536
Ovis aries (sheep),49642.35268253894,42509.98811918237
Piliocolobus tephrosceles (Ugandan red Colobus),48915.11892343,39746.40175255581
Physeter catodon (sperm whale),50732.365909429835,41804.278073271365
Equus caballus (horse),50013.77116383546,40493.766764939865
Pan troglodytes (chimpanzee),58917.701481515665,45320.82591037061
Pongo abelii (Sumatran orangutan),57071.79567969845,45873.96438409124
Desmodus rotundus (common vampire bat),44600.01109622085,39586.28056821228
Neophocaena asiaeorientalis asiaeorientalis (Yangtze finless porpoise),50787.22082329757,42921.73160718196
Bubalus bubalis (water buffalo),53882.268334280845,44071.52193481145
Vulpes vulpes (red fox),48164.233317898856,41408.890981118486
Canis lupus dingo (dingo),53340.72785923754,42494.80029325513
Theropithecus gelada (gelada),57509.1656497718,46371.583233245256
Callorhinus ursinus (northern fur seal),49942.044624277456,43224.76832369942
Puma concolor (puma),47672.11409850881,45934.241244916404
Macaca mulatta (Rhesus monkey),58180.4972290062,46183.38826789404
Bos indicus x Bos taurus (hybrid cattle),54462.90004750594,44249.19463182898
Urocitellus parryii (Arctic ground squirrel),46752.742392986074,40517.15043837029
Ursus arctos horribilis (brown bear),48093.33514192414,40128.3239889475
Cricetulus griseus (Chinese hamster),39311.817320335525,33009.35937429155
Lagenorhynchus obliquidens (Pacific white-sided dolphin),54796.70719131615,44623.3005156038
Acinonyx jubatus (cheetah),55825.58905299739,45023.474472325855
Eumetopias jubatus (Steller sea lion),48244.82520717881,42241.22832884234
Ornithorhynchus anatinus (platypus),49899.1537746679,40618.25709287706
Phyllostomus discolor (pale spear-nosed bat),44872.34246504402,39732.45893319524
Peromyscus leucopus (white-footed mouse),45035.373628417336,37764.24827970988
Grammomys surdaster (rodents),40523.48991569239,34766.16828916111
Monodon monoceros (narwhal),56467.18402173913,45850.90135869565
Suricata suricatta (meerkat),48770.9339048392,41127.02693517297
Lynx canadensis (Canada lynx),53714.94561034429,44944.02940120068
Mus caroli (Ryukyu mouse),45979.347891779595,37534.65352471788
Mus pahari (shrew mouse),45746.62466656967,37967.15815509966
Vombatus ursinus (common wombat),59983.27997446071,52072.65020294614
Zalophus californianus (California sea lion),55007.76033604888,44008.544908350304
